timestamp,service,value
1732321520,payments,0.208001
1732321530,payments,0.17
1732321540,payments,0.164
1732321550,payments,0.151
1732321570,payments,1.041
1732321590,payments,1.639
1732321600,payments,1.406001
1732321620,payments,0.933
1732321630,payments,2.136
1732321640,payments,2.034
1732321650,payments,1.75
1732321660,payments,1.691
1732321670,payments,1.527
1732321680,payments,1.627
1732321690,payments,0.954
1732321700,payments,1.222
1732321710,payments,0.849
1732321720,payments,1.911
1732321730,payments,1.294
1732321740,payments,1.782
1732321750,payments,0.963001
1732321760,payments,1.264
1732321780,payments,1.804
1732321790,payments,1.666
1732321810,payments,2.126001
1732321820,payments,1.184
1732321830,payments,1.202
1732321840,payments,1.831
1732321850,payments,0.942
1732321860,payments,2.061
1732321870,payments,1.944001
1732321880,payments,0.966
1732321890,payments,1.298
1732321900,payments,1.504
1732321920,payments,0.948001
1732321930,payments,1.507001
1732321950,payments,1.84
1732321960,payments,2.311
1732321970,payments,0.971001
1732321990,payments,0.981001
1732322000,payments,1.878001
1732322020,payments,1.614
1732322030,payments,1.527
1732322050,payments,1.669
1732322060,payments,1.117
1732322080,payments,1.708
1732322090,payments,1.582
1732322100,payments,0.982
1732322120,payments,1.33
1732322130,payments,1.261
1732322140,payments,1.987
1732322150,payments,2.418
1732322160,payments,1.28
1732322170,payments,1.11
1732322180,payments,1.147
1732322190,payments,1.461
1732322200,payments,2.114
1732322210,payments,1.1
1732322220,payments,2.041
1732322230,payments,2.065
1732322240,payments,1.911
1732322250,payments,0.959
1732322260,payments,2.527
1732322270,payments,2.04
1732322280,payments,1.902
1732322300,payments,1.748
1732322330,payments,2.1
1732322360,payments,0.99
1732322370,payments,1.928001
1732322390,payments,1.927
1732322400,payments,1.533
1732322410,payments,1.807
1732322430,payments,1.226
1732322450,payments,0.712
