timestamp,service,value
1732321520,recommendations-food,8.0
1732321530,recommendations-food,8.0
1732321540,recommendations-food,6.5
1732321550,recommendations-food,8.0
1732321570,recommendations-food,133.5
1732321590,recommendations-food,229.0
1732321600,recommendations-food,191.0
1732321620,recommendations-food,89.5
1732321630,recommendations-food,332.5
1732321640,recommendations-food,294.5
1732321650,recommendations-food,237.5
1732321660,recommendations-food,247.5
1732321670,recommendations-food,206.5
1732321680,recommendations-food,243.5
1732321690,recommendations-food,108.0
1732321700,recommendations-food,184.0
1732321710,recommendations-food,116.0
1732321720,recommendations-food,282.0
1732321730,recommendations-food,190.5
1732321740,recommendations-food,245.0
1732321750,recommendations-food,117.0
1732321760,recommendations-food,174.5
1732321780,recommendations-food,260.0
1732321790,recommendations-food,233.0
1732321810,recommendations-food,314.0
1732321820,recommendations-food,142.5
1732321830,recommendations-food,155.5
1732321840,recommendations-food,253.0
1732321850,recommendations-food,115.5
1732321860,recommendations-food,338.0
1732321870,recommendations-food,289.0
1732321880,recommendations-food,132.5
1732321890,recommendations-food,183.5
1732321900,recommendations-food,214.0
1732321920,recommendations-food,118.0
1732321930,recommendations-food,205.5
1732321950,recommendations-food,266.5
1732321960,recommendations-food,326.5
1732321970,recommendations-food,134.5
1732321980,recommendations-food,126.0
1732321990,recommendations-food,134.0
1732322000,recommendations-food,274.0
1732322010,recommendations-food,279.5
1732322020,recommendations-food,223.5
1732322030,recommendations-food,235.5
1732322040,recommendations-food,322.0
1732322050,recommendations-food,238.0
1732322060,recommendations-food,145.0
1732322070,recommendations-food,369.5
1732322080,recommendations-food,261.0
1732322090,recommendations-food,249.5
1732322100,recommendations-food,127.5
1732322120,recommendations-food,165.5
1732322130,recommendations-food,177.5
1732322140,recommendations-food,301.5
1732322150,recommendations-food,352.5
1732322160,recommendations-food,166.0
1732322170,recommendations-food,142.0
1732322180,recommendations-food,170.5
1732322190,recommendations-food,214.0
1732322200,recommendations-food,327.0
1732322210,recommendations-food,147.5
1732322220,recommendations-food,354.0
1732322230,recommendations-food,312.0
1732322240,recommendations-food,280.5
1732322250,recommendations-food,121.5
1732322260,recommendations-food,368.0
1732322270,recommendations-food,305.0
1732322280,recommendations-food,276.0
1732322300,recommendations-food,247.0
1732322320,recommendations-food,314.5
1732322330,recommendations-food,313.0
1732322350,recommendations-food,276.0
1732322360,recommendations-food,120.5
1732322370,recommendations-food,280.5
1732322380,recommendations-food,99.5
1732322390,recommendations-food,285.5
1732322400,recommendations-food,225.0
1732322410,recommendations-food,257.5
1732322430,recommendations-food,165.5
1732322450,recommendations-food,83.0
