timestamp,service,value
1732321520,payments,6.5
1732321530,payments,8.0
1732321540,payments,8.0
1732321550,payments,6.5
1732321570,payments,135.0
1732321590,payments,229.0
1732321600,payments,192.0
1732321620,payments,102.0
1732321630,payments,321.5
1732321640,payments,293.0
1732321650,payments,238.0
1732321660,payments,248.0
1732321670,payments,205.5
1732321680,payments,243.5
1732321690,payments,106.5
1732321700,payments,192.0
1732321710,payments,109.5
1732321720,payments,284.0
1732321730,payments,188.5
1732321740,payments,246.0
1732321750,payments,118.0
1732321760,payments,172.5
1732321780,payments,262.0
1732321790,payments,231.5
1732321810,payments,315.0
1732321820,payments,141.5
1732321830,payments,155.0
1732321840,payments,254.0
1732321850,payments,115.0
1732321860,payments,337.0
1732321870,payments,291.5
1732321880,payments,130.5
1732321890,payments,183.5
1732321900,payments,215.0
1732321920,payments,118.0
1732321930,payments,207.0
1732321950,payments,267.0
1732321960,payments,327.5
1732321970,payments,133.0
1732321980,payments,126.0
1732321990,payments,136.0
1732322000,payments,272.0
1732322010,payments,279.5
1732322020,payments,225.0
1732322030,payments,234.0
1732322040,payments,322.0
1732322050,payments,239.5
1732322060,payments,147.0
1732322070,payments,366.0
1732322080,payments,262.5
1732322090,payments,248.0
1732322100,payments,128.0
1732322120,payments,164.0
1732322130,payments,179.0
1732322140,payments,301.0
1732322150,payments,351.5
1732322160,payments,164.5
1732322170,payments,146.0
1732322180,payments,168.5
1732322190,payments,213.5
1732322200,payments,329.0
1732322210,payments,145.5
1732322220,payments,354.0
1732322230,payments,313.5
1732322240,payments,279.0
1732322250,payments,121.5
1732322260,payments,369.5
1732322270,payments,304.0
1732322280,payments,276.0
1732322300,payments,246.0
1732322320,payments,316.0
1732322330,payments,312.0
1732322350,payments,278.0
1732322360,payments,119.0
1732322370,payments,280.5
1732322380,payments,101.0
1732322390,payments,284.5
1732322400,payments,225.0
1732322410,payments,257.0
1732322430,payments,165.0
1732322450,payments,81.5
