timestamp,service,value
1732321520,recommendations-food,0.163
1732321530,recommendations-food,0.155
1732321540,recommendations-food,0.139
1732321550,recommendations-food,0.149
1732321570,recommendations-food,0.880001
1732321590,recommendations-food,1.324
1732321600,recommendations-food,1.15
1732321620,recommendations-food,0.814001
1732321630,recommendations-food,1.898001
1732321640,recommendations-food,1.684
1732321650,recommendations-food,1.478
1732321660,recommendations-food,1.532
1732321670,recommendations-food,1.239
1732321680,recommendations-food,1.424
1732321690,recommendations-food,0.831001
1732321700,recommendations-food,1.098
1732321710,recommendations-food,0.840001
1732321720,recommendations-food,1.718
1732321730,recommendations-food,1.165
1732321740,recommendations-food,1.581
1732321750,recommendations-food,0.854
1732321760,recommendations-food,1.141
1732321780,recommendations-food,1.621
1732321790,recommendations-food,1.415
1732321810,recommendations-food,1.764
1732321820,recommendations-food,0.969
1732321830,recommendations-food,1.035
1732321840,recommendations-food,1.568
1732321850,recommendations-food,0.806
1732321860,recommendations-food,1.913
1732321870,recommendations-food,1.639
1732321880,recommendations-food,0.904
1732321890,recommendations-food,1.134
1732321900,recommendations-food,1.279
1732321920,recommendations-food,0.866
1732321930,recommendations-food,1.249
1732321950,recommendations-food,1.477
1732321960,recommendations-food,1.816
1732321970,recommendations-food,0.892
1732321990,recommendations-food,0.867
1732322000,recommendations-food,1.626001
1732322020,recommendations-food,1.276
1732322030,recommendations-food,1.342
1732322050,recommendations-food,1.536
1732322060,recommendations-food,1.062
1732322080,recommendations-food,1.53
1732322090,recommendations-food,1.504
1732322100,recommendations-food,0.977
1732322120,recommendations-food,1.179
1732322130,recommendations-food,1.193
1732322140,recommendations-food,1.709
1732322150,recommendations-food,1.969
1732322160,recommendations-food,1.055001
1732322170,recommendations-food,1.011
1732322180,recommendations-food,1.145
1732322190,recommendations-food,1.324
1732322200,recommendations-food,1.763
1732322210,recommendations-food,0.942
1732322220,recommendations-food,1.972
1732322230,recommendations-food,1.768
1732322240,recommendations-food,1.646001
1732322250,recommendations-food,0.839001
1732322260,recommendations-food,1.977
1732322270,recommendations-food,1.706
1732322280,recommendations-food,1.7
1732322300,recommendations-food,1.399
1732322330,recommendations-food,1.788
1732322360,recommendations-food,0.829
1732322370,recommendations-food,1.609
1732322390,recommendations-food,1.689
1732322400,recommendations-food,1.327
1732322410,recommendations-food,1.54
1732322430,recommendations-food,1.17
1732322450,recommendations-food,0.679
